"","PartNum","OptimalBayesian_feedb","RescorlaWagner_feedb","RescorlaWagner_feedbALL","RescorlaWagner_feedbALLdualLR","RescorlaWagner_feedbAndObs","RescorlaWagner_feedbAndQ","RescorlaWagner_feedbCK","RescorlaWagner_feedbmin1","RescorlaWagner_obs","RescorlaWagner_obsALL","RescorlaWagner_obsALL1n","RescorlaWagner_obsALL1nfree","RescorlaWagner_obsALL1nstick","RescorlaWagner_obsALLdualLR","RescorlaWagner_obsALLnobeta","RescorlaWagner_obsALLstick","RescorlaWagner_obsdualLR","BestModel"
"1",1,226.335421087822,262.08371578358,234.199355955784,414.739170877282,470.716994948559,244.055003556246,247.118558899564,262.083710924161,250.4461612361,250.670343568365,264.323464276969,238.770465567411,270.289611016093,414.739170877282,466.957621951731,256.636493249322,241.115617759496,"RescorlaWagner_obsdualLR"
"2",2,495.257413736353,488.43154051754,488.815061681017,539.018009589793,521.619293849973,493.168886142781,505.923062254294,488.431546270524,491.164000080518,478.275968625837,524.110381154615,530.076527893738,530.076527893738,520.676086331952,509.68700037173,484.242115364964,495.816528638808,"RescorlaWagner_obsALL"
"3",3,264.654473197809,333.87990227861,280.968203617832,435.901498169383,487.767172716049,301.326865845069,290.388483779004,333.87990227861,317.470178570357,315.292552315228,304.895348903228,261.00474149656,310.861495642352,435.901498169383,479.361460208088,321.258699055684,277.241483243239,"RescorlaWagner_obsdualLR"
"4",4,370.968938264782,376.576649799568,373.080951993927,462.237239345451,497.151916194335,372.064218107349,394.852203649564,376.57664979929,355.44624400514,359.086491936138,374.217237201544,380.183383940667,380.183383940669,462.237239345451,485.219622716088,365.052638676789,358.34571011987,"RescorlaWagner_obsdualLR"
"5",6,201.190585645475,188.593791166062,174.07909608625,408.267923910338,458.207443783703,181.856104740277,188.716767075436,188.593787497399,202.768173067205,195.728301565928,251.01670515363,256.982851892754,256.818104711949,408.219835767178,465.190646135292,201.364368531145,182.372274432168,"RescorlaWagner_obsdualLR"
"6",7,384.166430741051,550.098374912759,375.959853059354,457.328216507418,540.183157982174,393.33274764202,266.063979795501,550.098374912312,600.773511831236,593.308670639473,590.408208863839,566.778909036399,595.676229527896,457.328216507417,596.109881763922,598.579052313692,670.716943746439,"RescorlaWagner_obsALL1n"
"7",8,153.685070115092,155.697044472998,149.478506411536,381.512838965169,441.260113384762,157.949384529154,173.170782110034,155.697044473914,140.804532751767,142.063965304038,162.635288382445,168.601435121566,166.913011433125,381.125500617706,444.669627715743,146.224528746954,144.755637932941,"RescorlaWagner_obsALL"
"8",9,419.703738822893,408.020861338429,406.769919355205,499.854396095984,530.235841398851,412.388776183358,429.542621347534,408.020891317444,404.364909368208,403.889073625736,452.182261193303,457.636124561737,458.148407932442,499.854396096079,517.440383237423,409.85867734869,409.751739131078,"RescorlaWagner_obsALL"
"9",10,54.9670342131454,61.8213506654527,57.5154743026666,361.627945824982,419.737452156911,61.8117847196463,78.5983377443703,61.8213506654512,84.7971764722883,62.4402502877971,84.577993293095,90.5441400322187,90.5441400322187,361.305616638258,432.278485351399,68.4063970213967,63.1954210402142,"RescorlaWagner_obsALL"
"10",11,388.252913804606,389.112018331839,388.666700393412,439.387164436106,461.283335421618,390.685891370413,395.922989589601,389.112018383226,385.823730352212,386.125042828903,396.253121811966,402.219268551089,402.219268551089,439.387164436106,449.351041943395,392.091188744034,387.108316679019,"RescorlaWagner_obsALL"
"11",12,251.597450024709,243.133018182638,240.502512004689,423.891471711979,467.893283061959,247.731629801766,235.556695738433,243.133018182627,248.083916005749,246.798986968127,292.320646403946,298.274763675625,298.28679314307,423.891471711979,462.044235475264,252.765167483349,252.702014092425,"RescorlaWagner_obsALL"
"12",14,197.424771606133,167.033929891147,170.112511292097,399.203043757611,447.908830282752,172.793186428746,186.250097438252,167.033929794723,172.135051068735,170.171110331151,230.66373844987,236.450350413452,236.629885188997,399.203043757607,450.111967317237,176.137269326532,174.611069820181,"RescorlaWagner_obsALL"
"13",15,226.099390617117,241.817461625791,233.812677140351,416.655716935964,466.701123340645,238.318884022594,256.124773852791,241.817461513601,241.116199383896,241.979699316634,291.284178838204,293.202320541666,297.250325577328,416.655716935977,462.745154725047,247.945657209532,235.630821048155,"RescorlaWagner_obsdualLR"
"14",16,512.375667521761,560.137366002324,516.529640107602,575.421909023486,580.126256192177,533.76910843884,499.748056239777,560.137316388917,561.327273586054,562.458718148253,559.78416454124,565.750311280363,565.750311280363,566.206984837812,574.90512904693,568.424924638766,531.196681083733,"RescorlaWagner_obsdualLR"
"15",17,80.7256161157565,100.393256045631,89.9308785778157,367.316179382595,423.656413520733,97.2506435458966,113.883194307751,100.393256044542,94.9818743707666,80.0048643517285,83.4560415851005,89.27586907508,88.0852955456889,367.31417091665,435.207658926341,84.4799007088344,92.864487991843,"RescorlaWagner_obsALL"
"16",18,125.218336669299,134.2027172135,131.748813636364,380.580938550808,439.835502846814,137.50081805451,151.969807767273,134.20271721434,127.193653510765,131.211092723174,149.848251554425,149.823631625088,155.743410237702,380.580938550808,444.678873122334,136.434613221205,127.444922386294,"RescorlaWagner_obsdualLR"
"17",19,246.950836023303,265.692828179845,246.094686884879,416.473910594624,470.198136456364,255.018229273329,264.396119305837,265.692828065658,255.172282282106,254.880220191774,274.474900530498,278.444303989321,280.441047269622,416.473910594624,464.036557230842,260.846366671814,254.340162425637,"RescorlaWagner_obsdualLR"
"18",20,198.764144348642,239.602316360387,214.590772896406,399.503144366688,454.04100826422,222.506646054009,212.557933405094,239.602318071459,244.621912273129,243.835946672488,283.623781665875,289.589928404998,289.589928404999,399.503144366681,451.798406606603,249.802300408317,217.062727559225,"RescorlaWagner_obsdualLR"
"19",21,404.187773757342,403.373875238996,397.162008975707,479.299921969572,509.78795332069,407.088087535623,411.294626421112,403.373875238955,406.325385925776,394.899310781355,418.533828584384,420.463082262623,424.198161732811,479.299921969572,497.855659842445,400.635018012989,408.452599325788,"RescorlaWagner_obsALL"
"20",22,127.538951391014,124.352457621697,115.04595618764,378.213874790258,433.734713320078,119.933546306909,129.675538349739,124.352457464659,123.159451593972,117.030693781752,157.285069870599,153.996765351598,163.251216609721,378.213874790263,436.73948345233,122.996851269578,119.302711830445,"RescorlaWagner_obsALL"
"21",23,313.853625636471,304.652119398994,301.616610205884,447.135170688103,491.686103448994,307.295716155438,318.932110654118,304.652118504119,300.444646688247,299.265784072185,336.946029355616,342.912176094739,342.912176094739,447.135170688228,479.753809971061,305.231602955917,305.640463586844,"RescorlaWagner_obsALL"
"22",24,438.665590284186,482.936395521673,434.848977619697,511.887647162858,532.86829210439,470.302887974566,446.299612105105,465.707224173546,472.761991974075,466.842974336721,467.694448842177,473.660595581301,473.660595581301,511.719403603857,522.218814823001,472.809121075823,457.084473590196,"RescorlaWagner_obsdualLR"
"23",25,208.482922174527,213.410592626622,217.101437771796,399.315512676794,461.474053720187,219.080340612311,235.127429260565,213.410592626604,215.345898894186,212.378213190306,221.845360502221,227.811507241344,226.233708605612,399.31417091665,456.235484574753,216.581263272415,218.898768485128,"RescorlaWagner_obsALL"
"24",26,138.532411607191,158.99515536547,137.055810642421,372.517076244717,430.550209881018,147.912486435977,158.047327889395,158.995155367376,142.331649786685,142.939971344754,153.918980550616,159.88512728974,158.59038760781,372.516718328914,435.683708315652,147.80516861539,142.129438444471,"RescorlaWagner_obsdualLR"
"25",27,153.660967463285,156.893887512821,151.005834128129,384.039115227719,443.175666086432,154.343445332699,172.74018095084,156.893887516133,144.867440051223,142.571346402259,155.93624318187,161.859325323186,161.902389921,384.03911522772,446.22963665043,148.53749312711,147.515022405929,"RescorlaWagner_obsALL"
"26",28,219.285696427133,225.650759204524,212.746203708488,406.945978141889,458.701997309826,219.999781597026,231.349545792405,225.650759132429,222.950038327757,224.159374285123,248.434700393494,253.184372549225,254.400847132618,406.945978141889,454.921047848376,230.125764722028,216.358160132466,"RescorlaWagner_obsdualLR"
"27",29,151.615001884712,153.419337196991,149.670040302362,386.616549337801,442.575342882346,158.170089371632,173.134456226385,153.419337242089,152.197394888796,148.735413275824,166.226427765857,172.123053069382,172.065233418133,386.616549337801,447.540384358218,153.810947837747,158.144109243331,"RescorlaWagner_obsALL"
"28",30,311.623669362649,298.738521735265,293.959956491832,442.426610192944,493.263657701676,302.988296083025,313.909356540063,298.738521753206,300.786685882326,300.674184866144,331.359505781358,331.569949313173,337.325652520482,442.426610192934,481.701808332901,306.640335338929,303.35898943393,"RescorlaWagner_obsALL"
"29",31,145.396068956429,146.367020678786,141.484025499669,383.315146467635,444.1877499911,145.859695103672,164.227529514931,146.367020739049,137.603249312985,136.207150294596,173.281750722554,177.554004470587,179.247897461678,383.31417091665,447.321406980295,142.173298714525,140.690892645722,"RescorlaWagner_obsALL"
"30",32,514.489918089601,564.005728039349,535.737390258561,553.429760641288,567.033233442094,553.72589488458,550.681354417594,564.00572804294,529.976028338299,547.602513154446,528.163007669047,534.129154408171,534.129154408171,553.429760641285,555.100939963848,553.56865989258,535.548918836388,"RescorlaWagner_obsALL1n"
"31",33,126.549709745103,128.135275161333,124.432292894041,381.349004220181,438.410630328614,129.742071210009,147.028000216022,128.13527530806,124.221037013696,117.939198229349,144.831223298666,150.206411948494,149.856068117293,381.349004220181,441.536109706645,121.360148860481,125.358367811858,"RescorlaWagner_obsALL"
"32",34,160.041263855479,157.366499648143,150.082882856229,388.828161003491,439.702474594466,161.309877850833,159.17445179435,157.366499646587,160.898780978602,155.386618350501,184.008642361154,189.97478910023,189.97478910023,388.828161003491,439.331873765734,161.352765020775,163.628548693148,"RescorlaWagner_obsALL"
