"","PartNum","RescorlaWagner_absPE","RescorlaWagner_absPEchoiceLR","RescorlaWagner_decay","RescorlaWagner_feedbALL","RescorlaWagner_feedbALLdualLR","RescorlaWagner_feedbAndObs","RescorlaWagner_feedbCK","RescorlaWagner_obs","RescorlaWagner_obsALL","RescorlaWagner_obsALL1n","RescorlaWagner_obsALL1nstick","RescorlaWagner_obsALLabs","RescorlaWagner_obsALLstick","BestModel"
"1",1,750.588020011772,686.147523131589,742.772358514011,682.873714918667,903.206742640825,1008.32265785498,814.684028991091,743.262146212455,728.106298288116,751.724781950455,753.739928903221,NA,730.465509174735,"RescorlaWagner_feedbALL"
"2",2,524.726756235571,478.434952990709,494.969820306716,474.052792163008,843.465040479444,948.045399670074,595.386265028115,542.966358574587,480.303781162751,511.920840665567,515.326248905748,NA,484.664273230739,"RescorlaWagner_feedbALL"
"3",3,946.085419210391,933.488952772614,954.33297487521,928.387592498104,1066.04888577053,1123.21678169917,1121.28110969898,944.481081747281,952.978616275698,957.099623646244,956.695095078286,NA,951.932811638143,"RescorlaWagner_feedbALL"
"4",4,1496.21084522241,573.515280027275,619.027505156359,571.252650403765,888.372889326549,987.460814028593,705.571356243331,633.807846006987,604.35999377079,678.423762651759,685.756785666145,NA,611.693103319051,"RescorlaWagner_feedbALL"
"5",5,1393.22951343886,696.869838773029,742.479540548642,683.119779844236,895.851021589954,991.757123888522,860.293388373789,719.33507694797,727.813501583346,767.370544850246,774.703567864632,NA,735.14652426339,"RescorlaWagner_feedbALL"
"6",6,542.673768556161,415.921077787433,452.189563187083,416.646507576523,805.270866570931,919.99669457722,536.533569423733,545.451203371596,456.861523945112,455.02085021953,454.78466959734,NA,456.723780716136,"RescorlaWagner_feedbALL"
"7",7,720.467878035808,628.433307713389,712.173668510607,627.718675602473,879.501521743576,989.38058788722,737.560944720516,714.341980900053,697.506821608706,672.286038761401,679.619061775788,NA,704.83984432702,"RescorlaWagner_feedbALL"
"8",8,897.848065212306,863.948791998575,928.02295167718,856.232847752897,1012.22315832184,1087.82174996009,1047.41110145394,893.988969833363,932.584140840119,916.362260943871,923.695283958257,NA,939.917163907452,"RescorlaWagner_feedbALL"
"9",9,796.594962982275,706.850567641618,773.954405011422,709.561757480609,902.266254768347,1008.01510218077,859.406412478074,790.870349356046,759.290422373333,757.262937885506,763.691696137464,NA,765.879715776336,"RescorlaWagner_feedbALL"
"10",10,1444.59169155795,538.522281925283,620.005505443075,540.004987410855,881.058192967016,960.05534420114,659.791023572998,626.405481044472,605.339552891201,702.781764575346,704.934599622821,NA,606.057376033465,"RescorlaWagner_feedbALL"
"11",11,512.610581747689,412.645746696763,478.887710394592,406.152536772983,809.459020136287,928.76183214967,500.751660417462,541.683624813654,468.599269051713,540.566823388423,547.89941182011,NA,475.922004448218,"RescorlaWagner_feedbALL"
"12",12,1475.617459103,603.210651741024,638.994855509674,597.453497283437,880.654538646953,984.395352323605,744.128697141439,646.961024412442,626.219953963237,680.160341010459,687.493364024845,NA,633.552982785432,"RescorlaWagner_feedbALL"
"13",13,1463.74520460785,711.845764026611,728.087842487092,705.675353272874,930.564411842391,1020.08902856579,1080.25386788288,714.611086151306,713.421796561891,715.855306959439,723.188329973825,NA,720.754820810653,"RescorlaWagner_feedbALL"
"14",14,1491.47109183024,1003.85500956844,1031.10852823125,997.456648977169,1115.2493533151,1172.23035985779,1209.29578076149,1014.70559363029,1016.44340419946,1063.5771039533,1050.97840057988,NA,1003.55395375145,"RescorlaWagner_feedbALL"
"15",15,529.133798604425,410.95183260021,440.628707330435,404.886465131126,810.362862670996,916.098380537187,525.44775210921,533.039586476982,426.561628495,438.627493600412,445.960516614799,NA,433.894651552714,"RescorlaWagner_feedbALL"
"16",16,936.985049174911,1065.51300647487,1273.07318949473,862.670354107922,1006.96971112093,1091.29095361697,1046.65189130384,929.771632837355,918.085804137347,931.945564693585,939.276379327197,NA,1449.88226099665,"RescorlaWagner_feedbALL"
"17",17,934.775213982492,907.072159861725,940.389627064751,901.804660972783,1051.23958394603,1124.17958002744,1093.05438314664,928.766424952104,926.974846943053,974.687259865414,938.98374536664,NA,904.137301873679,"RescorlaWagner_feedbALL"
"18",18,850.166409671377,870.767162196084,885.521789638229,862.898749448311,1021.07252124451,1090.39798884867,1063.97841690308,843.313622865227,870.855628536487,875.333913044749,882.666936059139,NA,878.188651878324,"RescorlaWagner_feedbALL"
"19",19,485.768174663963,388.329993400217,416.074219196267,378.20815790401,794.182033921986,905.193721215974,488.592416728998,498.05351317543,401.410781606974,423.361485668954,430.097854919775,NA,408.117927139737,"RescorlaWagner_feedbALL"
"20",20,579.947198144779,500.648696089096,547.987809329751,493.022248234714,838.354145884113,943.20320270712,618.085914858405,582.393815209832,533.321458600488,560.207347266042,567.540370280429,NA,540.654481878117,"RescorlaWagner_feedbALL"
"21",21,1122.52457986153,1192.67663743015,1120.09569045466,1053.5905973133,1111.60021476604,1189.65625244302,1273.86553554557,1138.30240969255,1105.42831413003,1078.22350246829,1085.55652548266,NA,1112.76133717282,"RescorlaWagner_feedbALL"
"22",22,555.690464120903,525.306145951346,534.431268488633,520.793199323877,869.968128607282,970.886687555152,661.023717679173,568.146172019661,519.764747267209,598.431694037537,605.764717051921,NA,527.09778469508,"RescorlaWagner_obsALL"
"23",23,1357.00053880161,1173.11456540393,1089.8327490263,1048.28437022054,69.1330773212357,1143.55637458304,1258.20311034389,1083.21001464325,1083.30222548365,1098.87413911272,1106.14615760926,NA,1090.5357542482,"RescorlaWagner_feedbALL"
"24",24,794.361096970972,764.849976461291,810.058382885305,757.339677301019,1007.24027622955,1066.98500207215,920.568842504961,807.037642386175,796.255019458028,873.108527730596,878.555172293401,NA,801.19625954259,"RescorlaWagner_feedbALL"
"25",25,1491.47108517628,861.504393090128,672.422798358562,620.241406427105,898.627507848976,999.637738082544,755.229488893219,667.506515047818,657.755734423978,702.422140467133,709.755163481536,NA,665.088786857906,"RescorlaWagner_feedbALL"
"26",26,940.314877280779,1117.85992324196,944.583645013877,924.356026868009,1065.16420569028,1129.56090880301,1142.9786542343,935.883524723371,930.283541232272,957.97872060366,965.311743618039,NA,937.616564241022,"RescorlaWagner_feedbALL"
"27",27,584.755668918703,533.926174798232,563.653776666839,528.432143335896,859.854924605993,959.507587688532,667.517400259147,587.907059746167,548.987050197505,582.941329675108,585.65122692561,NA,551.923961717331,"RescorlaWagner_feedbALL"
"28",28,562.816391779849,557.417912170065,555.592260397458,537.625298127581,643.977389144176,685.398367678982,679.488901359384,558.992830572991,565.845363853117,542.158832858405,549.491855872791,NA,573.178386876666,"RescorlaWagner_feedbALL"
"29",29,667.273154550394,602.549523330442,667.836080733824,606.932009376283,878.373791956854,987.276492989305,741.522251669556,673.172109101002,653.169735654362,682.994905375388,685.294465559396,NA,655.011180740464,"RescorlaWagner_feedbALL"
"30",30,503.959137728942,446.302425734302,505.821537291976,444.432680274707,847.350088932738,950.625335344394,550.077849794911,556.9749322541,491.157302330216,620.60845048933,627.941473503717,NA,498.495148855429,"RescorlaWagner_feedbALL"
"31",31,1031.00720321554,967.25502131665,1033.64988197409,973.526800353052,1089.00270452216,1151.73409199287,1171.1186877587,1046.56361257487,1018.98379645823,1007.64022386938,1014.97324688376,NA,1026.31681944114,"RescorlaWagner_feedbALL"
"32",32,1487.22085890261,1093.89980132593,1192.67632521102,1101.75465404609,1184.31468170107,1220.42216592571,1313.85343630315,1178.52857236939,1178.05490025872,1218.53793363993,1225.87095665432,NA,1185.3876009801,"RescorlaWagner_feedbALL"
"33",33,990.070385327196,1015.80785420847,1019.60881161487,1013.05480623729,1101.44175134953,1160.14534519001,1242.77842671498,990.051358887538,1033.5683406692,1001.74361363124,1009.07663664563,NA,1040.90136365078,"RescorlaWagner_feedbALL"
"34",34,864.702417704477,836.306445921879,869.679174520114,822.58939022923,1031.24708101057,1082.34693007849,993.165080967989,857.500402646798,855.008792101996,901.017830627363,908.350853641749,NA,862.342149301294,"RescorlaWagner_feedbALL"
"35",35,1005.08685712154,997.108067054198,1036.12550778947,995.889988472432,1104.45193717564,1158.99521226794,1229.43780647649,997.789741456521,1021.4594838086,1027.12120710235,1023.25870626053,NA,1016.33088949681,"RescorlaWagner_feedbALL"
"36",36,786.891155245734,743.787156578429,781.976835174824,740.192615104032,950.778107903936,1040.7213920916,907.321143238746,780.450646274484,767.31011706795,791.052013583031,798.385036597418,NA,774.643141670582,"RescorlaWagner_feedbALL"
"37",37,1123.87726710692,1089.63405553572,1149.37887737227,1092.28073273802,1247.77081849203,1209.48048074032,1315.54334886391,1116.63397585701,1134.71226191919,1119.31243309022,1126.64545610461,NA,1142.04528524537,"RescorlaWagner_feedbALL"
"38",38,550.557962305893,457.818772033753,526.859407200579,449.424710856238,832.802853884411,934.792838563836,573.985205024297,559.784550774123,512.556913563607,542.388297011297,549.153373330727,NA,519.780936059612,"RescorlaWagner_feedbALL"
"39",39,1476.22185385792,1197.95636122741,1212.82919892459,1192.33880304771,1326.02505320484,1276.32823761853,1377.22172664917,1219.15307448999,1218.72285599688,1288.39602885097,1295.72905186536,NA,1226.43522973724,"RescorlaWagner_feedbALL"
"40",40,1035.57383959449,1018.34584284752,1049.40084255526,1014.39536835464,1021.07252124451,1178.10591130536,1231.11439753025,1033.76231568563,1034.7440601748,1040.45460127821,1047.7876242926,NA,1042.07708425241,"RescorlaWagner_feedbALL"
"41",41,980.961681609114,980.378513103394,1025.78876753111,981.534597524746,1082.34722846603,1144.16149913959,1160.50376854161,1438.3903548989,1011.51085283118,1110.77324418312,1118.1062671975,NA,1018.84599548198,"RescorlaWagner_feedbALL"
"42",42,1487.31220874688,1487.31220874688,1494.64523176127,1479.9791857325,1487.25364117532,1487.31220874688,1702.73676539484,1478.64684592593,1479.9791857325,1472.62996698729,1479.88773325177,NA,1487.23528473338,NA
"43",43,1146.74239870514,1216.49840561483,1146.75453269373,1128.14138187629,1178.96636151273,1214.46292942636,1402.65879864898,1141.3730700705,1132.0878574739,1130.16834501939,1137.50136803378,NA,1139.42088049244,"RescorlaWagner_feedbALL"
"44",44,940.303923917707,903.883346645247,963.72877578682,895.53299702015,1052.23054974155,1113.72831064465,1086.72840165605,949.798341323734,949.061406306848,935.027884244871,941.964738023893,NA,955.670750935457,"RescorlaWagner_feedbALL"
"45",45,761.403465200352,744.286124198999,766.274709681048,737.938221204753,961.280098753452,1042.72356002501,913.84611416618,756.386312221557,751.606737176082,738.791978093102,741.724547624655,NA,755.937998183384,"RescorlaWagner_feedbALL"
"46",47,733.319964264977,662.846310784952,728.008935630109,663.159538301607,930.5580575926,1009.3423564024,812.878883640698,727.717564549589,713.345972521766,693.360344999077,700.203502205406,NA,720.001464069648,"RescorlaWagner_feedbALL"
"47",48,589.845477135814,824.442522049121,579.358869691741,538.028930925144,897.41870581886,979.883208744552,673.494725921389,605.457723444548,571.972339108314,653.531085333138,660.864108347521,NA,1498.13016743683,"RescorlaWagner_feedbALL"
"48",49,876.229963510258,794.055816671241,882.930001886722,784.155081082205,959.166204414181,1056.58226744544,958.444193598352,868.948920054726,868.265480810413,871.25002076396,863.977436677712,NA,862.864103303267,"RescorlaWagner_feedbALL"
"49",50,1462.35891024673,1220.14736763711,1378.43431045284,1229.80498336172,878.373791956854,1282.1826316543,1471.60121462084,1297.12211473694,1288.27347983258,1301.67068221589,1309.00370523027,NA,1295.60650289369,"RescorlaWagner_feedbALL"
"50",51,879.762526819263,848.694952124814,886.166875675186,842.173964153519,1023.3429563981,1089.69016964138,1035.97201913598,873.675829390133,873.786342228906,920.062650108645,924.485153218815,NA,877.069469674161,"RescorlaWagner_feedbALL"
"51",52,1127.43255404448,1200.4396395234,1129.29853179874,1061.60217431663,1136.04164053934,1193.7044579403,1269.92661252894,1120.56011644699,1116.41182740917,1136.13680520748,1143.46982822187,NA,1158.79498635536,"RescorlaWagner_feedbALL"
"52",53,768.3927121761,748.827925114338,789.518913386238,740.854373666316,946.247886936425,1032.09906207635,904.311220875778,764.868016682337,774.853261143075,789.849721483068,796.984356427014,NA,781.98466187376,"RescorlaWagner_feedbALL"
"53",54,1491.61952152856,391.658744889886,405.440749020246,385.421378072743,811.82848406384,917.235103498802,507.384177083457,487.854289730872,390.774406083547,469.260379257117,476.583705457428,NA,398.107441562331,"RescorlaWagner_feedbALL"
"54",55,1333.16899739075,1323.66102300915,1330.39961811227,1302.66663189756,1316.42143714114,1310.94591868461,2274.99984209744,1326.14957513747,1315.73353990611,1321.19946478724,1326.30340147439,NA,1320.56616317796,"RescorlaWagner_feedbALL"
"55",56,804.894124386951,806.481796029946,844.46024479298,800.9875752064,984.881562517774,1063.37600655701,982.324026281245,804.881891651864,829.792365379139,846.889719799291,854.222742813678,NA,837.125389276141,"RescorlaWagner_feedbALL"
"56",57,882.004822323929,1074.40988454186,934.134704169687,842.645215478893,1053.19680200459,1096.35703323004,1007.92526197472,877.639757999836,919.469260859664,895.285981448865,902.021108810489,NA,926.139765116366,"RescorlaWagner_feedbALL"
"57",58,1069.38428095004,1015.31717124384,1084.15477265116,1021.90740919245,1132.36800718708,1178.67063330798,1211.61077711266,1066.64117183869,1069.49172121593,1080.93667604354,1088.26969905793,NA,1076.87343254951,"RescorlaWagner_feedbALL"
"58",59,818.765494588767,778.690680604283,801.951014614445,774.175511279955,968.199832209255,1055.06897771758,958.349238846331,812.348338667261,787.284852181582,790.895978862274,797.935431748287,NA,794.509118607865,"RescorlaWagner_feedbALL"
"59",60,1481.76693718209,685.53942803765,815.226591761239,712.531680777107,957.958844107295,1035.50025255887,838.64400364803,777.107404181528,803.805278153031,798.154070286112,805.487093300498,NA,811.138301192769,"RescorlaWagner_feedbALL"
"60",61,1431.86043430209,1319.1476659794,1372.63760567294,1323.64389954551,1332.65786224706,1336.26519843326,1596.94844246993,1358.74025550616,1357.97185942182,1352.15930440516,1331.34451733824,NA,1336.50948435644,"RescorlaWagner_feedbALL"
"61",62,1460.97261588561,1460.69093261888,1467.91904420148,1453.63959287122,1457.95056671378,1459.60897431123,1708.79351445739,1453.63959287122,1453.25272155059,1446.19380324836,1450.08835361489,NA,1457.48903463695,"RescorlaWagner_obsALL"
"62",63,1106.86412649762,1078.00855758563,1109.11755790096,1071.76963226357,1143.73409241858,1187.5502150294,1312.56466385487,1112.44809635559,1094.4508853482,1090.34866604642,1097.6816890608,NA,1101.78390836904,"RescorlaWagner_feedbALL"
"63",64,1477.60814821904,460.554777172618,524.282221479996,452.912548562632,813.64201161935,933.19912824972,555.906812958548,571.379921354312,509.615181757934,525.980201298298,533.313224312684,NA,516.94820570575,"RescorlaWagner_feedbALL"
"64",65,1465.10442398579,1183.34333827336,1349.38051056313,1177.20921420844,1230.66862190011,1254.80940701039,1429.88028729666,1183.35977819946,1183.15712210616,1225.08371566238,1232.41673867674,NA,1190.4901291697,"RescorlaWagner_feedbALL"
"65",66,622.44531670912,581.974888886765,610.62509302688,574.694304844342,896.989355413832,984.570491613386,721.75289808479,623.555290734286,595.959767162767,637.132788329164,644.46581134355,NA,603.292794142063,"RescorlaWagner_feedbALL"
"66",67,741.265212544637,916.87392831206,745.530466707457,700.935528486108,956.8097478805,1030.86109129339,866.161308126143,739.408659746686,733.121328617358,811.734258898789,819.067281913176,NA,740.454409622596,"RescorlaWagner_feedbALL"
"67",68,1427.39295679196,1425.47087246694,1437.62710294479,1415.93700265433,1487.25364117532,1425.06066319724,1719.26335771922,1421.82856122454,1422.96096382992,1419.36667796558,1426.69970097997,NA,1469.29038205233,"RescorlaWagner_feedbALL"
"68",69,923.525599401586,880.236041267543,927.273104618968,876.211273452685,1014.65631910042,1086.23216771682,1083.26694117792,916.831701728282,912.612116044444,902.450129076738,909.783152091125,NA,919.945139057366,"RescorlaWagner_feedbALL"
"69",70,552.732828016209,508.434673107447,530.472664714825,502.602769030392,848.972970018778,951.264240418603,626.219479260605,567.756832509414,515.806590157682,532.383143472597,539.670542436356,NA,522.132616442897,"RescorlaWagner_feedbALL"
"70",71,801.592709192797,748.174442564906,787.72872803194,744.62662080884,952.443018725081,1046.41953634643,917.551848694756,799.378331609676,774.087585757086,777.496447070156,784.829470084543,NA,781.420608708811,"RescorlaWagner_feedbALL"
"71",72,468.147351654835,386.171066465674,454.336258053619,384.540432264115,781.612208877222,894.943341776888,472.346690044916,510.160991258055,444.554442834086,541.526610298054,548.859633312441,NA,451.880237238126,"RescorlaWagner_feedbALL"
"72",73,891.204984667827,876.559246601406,907.987679093186,869.887022851516,1031.98928836575,1108.12390858657,1070.096898625,890.630022608086,893.32067195257,934.186034265324,941.519057279711,NA,900.653631054904,"RescorlaWagner_feedbALL"
"73",74,1420.45829345249,1311.58139058165,1423.48889906393,1466.1162421213,1356.03608282076,1357.60545786071,1544.30910945083,1413.95619200562,1408.82458668248,1400.5049613288,1407.83798434318,NA,1473.44926513568,"RescorlaWagner_obsALL"
"74",75,788.102709688906,753.185295000772,790.986168929397,740.013896863684,945.450007791778,1002.00324560163,923.65535476117,780.848175734094,776.320859593376,827.973654593852,830.77831194637,NA,780.715736625543,"RescorlaWagner_feedbALL"
"75",76,786.564580534848,759.215287605401,792.746527786111,754.068166341175,973.871202479973,1064.96665978949,928.281311837158,783.839778890062,778.081983508641,829.36247854499,836.695501559377,NA,785.415779017856,"RescorlaWagner_feedbALL"
"76",77,980.264608322367,974.919591838558,986.525026375837,968.912294822894,1086.47900107884,1156.36415345762,1196.65669411214,975.757321004642,971.861396561263,1025.20156933794,1032.53459235233,NA,979.19493510019,"RescorlaWagner_feedbALL"
"77",78,1476.22185385792,716.123225543351,799.38274565911,739.285896590629,1009.96845995273,1050.69791371216,864.522916846983,799.351545343942,793.851199451134,823.697195613077,831.030218627464,NA,801.184222729401,"RescorlaWagner_feedbALL"
"78",79,1288.55477362548,1261.08304666579,1294.86686503674,1249.31632484056,1272.92968688481,1300.72702926473,1519.54466770562,1281.88616811803,1280.20110330752,1284.55740490636,1291.89042792075,NA,1488.698503108,"RescorlaWagner_feedbALL"
"79",80,734.568783894906,649.622423312704,741.966466795923,639.376431969583,898.186699962601,996.066413376514,782.255089687932,727.369910992356,727.299464198792,705.688014559125,710.787580487721,NA,732.667105583184,"RescorlaWagner_feedbALL"
